score,review,sentiment
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
7,불씨를 횃불로 키우는 재능,1
8,시리즈 전체가 하나의 True American Classic,1
9,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문",1
9,"1편의 정통이자, 3편의 감동을 뛰어넘는다",1
7,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?,1
7,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!,1
